datum,gewest,jaar,periode,nieuwbouw_woningen_maand,nieuwbouw_woningen_trend
2021-10-01,Brussels Hoofdstedelijk Gewest,2021,10,551.0,386.8
2021-11-01,Brussels Hoofdstedelijk Gewest,2021,11,183.0,210.8
2021-12-01,Brussels Hoofdstedelijk Gewest,2021,12,695.0,366.0
2022-01-01,Brussels Hoofdstedelijk Gewest,2022,1,244.0,418.2
2022-02-01,Brussels Hoofdstedelijk Gewest,2022,2,175.0,324.2
2022-03-01,Brussels Hoofdstedelijk Gewest,2022,3,325.0,359.8
2022-04-01,Brussels Hoofdstedelijk Gewest,2022,4,509.0,313.2
2022-05-01,Brussels Hoofdstedelijk Gewest,2022,5,86.0,273.8
2022-06-01,Brussels Hoofdstedelijk Gewest,2022,6,89.0,252.2
2022-07-01,Brussels Hoofdstedelijk Gewest,2022,7,347.0,257.8
2022-08-01,Brussels Hoofdstedelijk Gewest,2022,8,234.0,189.0
2022-09-01,Brussels Hoofdstedelijk Gewest,2022,9,420.0,272.5
2022-10-01,Brussels Hoofdstedelijk Gewest,2022,10,524.0,381.2
2022-11-01,Brussels Hoofdstedelijk Gewest,2022,11,444.0,405.5
2022-12-01,Brussels Hoofdstedelijk Gewest,2022,12,225.0,403.2
2023-01-01,Brussels Hoofdstedelijk Gewest,2023,1,329.0,380.5
2023-02-01,Brussels Hoofdstedelijk Gewest,2023,2,525.0,380.8
2023-03-01,Brussels Hoofdstedelijk Gewest,2023,3,272.0,337.8
2023-04-01,Brussels Hoofdstedelijk Gewest,2023,4,228.0,338.5
2023-05-01,Brussels Hoofdstedelijk Gewest,2023,5,138.0,290.8
2023-06-01,Brussels Hoofdstedelijk Gewest,2023,6,394.0,258.0
2023-07-01,Brussels Hoofdstedelijk Gewest,2023,7,450.0,302.5
2023-08-01,Brussels Hoofdstedelijk Gewest,2023,8,25.0,251.8
2023-09-01,Brussels Hoofdstedelijk Gewest,2023,9,197.0,266.5
2023-10-01,Brussels Hoofdstedelijk Gewest,2023,10,522.0,298.5
2023-11-01,Brussels Hoofdstedelijk Gewest,2023,11,14.0,189.5
2023-12-01,Brussels Hoofdstedelijk Gewest,2023,12,534.0,316.8
2024-01-01,Brussels Hoofdstedelijk Gewest,2024,1,237.0,326.8
2024-02-01,Brussels Hoofdstedelijk Gewest,2024,2,431.0,304.0
2024-03-01,Brussels Hoofdstedelijk Gewest,2024,3,280.0,370.5
2024-04-01,Brussels Hoofdstedelijk Gewest,2024,4,196.0,286.0
2024-05-01,Brussels Hoofdstedelijk Gewest,2024,5,4.0,227.8
2024-06-01,Brussels Hoofdstedelijk Gewest,2024,6,90.0,142.5
2024-07-01,Brussels Hoofdstedelijk Gewest,2024,7,135.0,106.2
2024-08-01,Brussels Hoofdstedelijk Gewest,2024,8,105.0,83.5
2024-09-01,Brussels Hoofdstedelijk Gewest,2024,9,58.0,97.0
2024-10-01,Brussels Hoofdstedelijk Gewest,2024,10,165.0,115.8
2024-11-01,Brussels Hoofdstedelijk Gewest,2024,11,15.0,85.8
2024-12-01,Brussels Hoofdstedelijk Gewest,2024,12,152.0,97.5
2025-01-01,Brussels Hoofdstedelijk Gewest,2025,1,192.0,131.0
2025-02-01,Brussels Hoofdstedelijk Gewest,2025,2,250.0,152.2
2025-03-01,Brussels Hoofdstedelijk Gewest,2025,3,10.0,151.0
2025-04-01,Brussels Hoofdstedelijk Gewest,2025,4,153.0,151.2
2025-05-01,Brussels Hoofdstedelijk Gewest,2025,5,356.0,192.2
